cut	MISS_OMIT_LACK DEVELOP_AGE MANAGE SEW INCREASE_ENLARGE_MULTIPLY CONVERT WEAKEN ADJUST_CORRECT CARRY-OUT-ACTION SHAPE TURN_CHANGE-DIRECTION REMOVE_TAKE-AWAY_KIDNAP PUBLISH REFUSE CASTRATE STOP SWITCH-OFF_TURN-OFF_SHUT-DOWN TRAVEL HIT CHANGE_SWITCH HOLE_PIERCE REDUCE_DIMINISH CUT PERCEIVE RECORD SEPARATE_FILTER_DETACH GROUP DISMISS_FIRE-SMN
compendiar	MOUNT_ASSEMBLE_PRODUCE REDUCE_DIMINISH SUMMARIZE
réduire	COOK REDUCE_DIMINISH
abridge	REDUCE_DIMINISH
condensar	AMASS CONVERT CHANGE-APPEARANCE/STATE SUMMARIZE REDUCE_DIMINISH
encoger	SPOIL REDUCE_DIMINISH
contraer	CONTRACT-AN-ILLNESS_INFECT AMASS REDUCE_DIMINISH CHANGE_SWITCH
resumir	REDUCE_DIMINISH SUMMARIZE
abréger	REDUCE_DIMINISH SUMMARIZE
reduce	REMOVE_TAKE-AWAY_KIDNAP COOK RESTRAIN RESTORE-TO-PREVIOUS/INITIAL-STATE_UNDO_UNWIND DISBAND_BREAK-UP REPRESENT SUBJUGATE SIMPLIFY DEBASE_ADULTERATE WEAKEN DOWNPLAY_HUMILIATE REDUCE_DIMINISH
simplificar	SIMPLIFY REDUCE_DIMINISH
foreshorten	REDUCE_DIMINISH
shorten	REDUCE_DIMINISH
acortar	REDUCE_DIMINISH
resignar	RESIGN_RETIRE GIVE-UP_ABOLISH_ABANDON
renegar	GIVE-UP_ABOLISH_ABANDON OPPOSE_REBEL_DISSENT FAIL_LOSE DISCARD OFFEND_DISESTEEM RESIGN_RETIRE
abdicate	GIVE-UP_ABOLISH_ABANDON
abdicar	GIVE_GIFT GIVE-UP_ABOLISH_ABANDON
renounce	DISCARD RESIGN_RETIRE GIVE-UP_ABOLISH_ABANDON
adduce	PROVE
abducir	REMOVE_TAKE-AWAY_KIDNAP PROVE
cite	SUMMON CITE PROVE APPROVE_PRAISE
aducir	PROVE
abduce	PROVE
nobble	REMOVE_TAKE-AWAY_KIDNAP HURT_HARM_ACHE STEAL_DEPRIVE
éloigner	REMOVE_TAKE-AWAY_KIDNAP
raptar	REMOVE_TAKE-AWAY_KIDNAP CAUSE-MENTAL-STATE
coger	REMOVE_TAKE-AWAY_KIDNAP CAUSE-MENTAL-STATE GROUP CONQUER BRING CATCH CHOOSE UNDERSTAND CATCH_EMBARK FIND HAVE-SEX MOVE-BY-MEANS-OF PUNISH CAGE_IMPRISON TAKE CONTRACT-AN-ILLNESS_INFECT
secuestrar	REMOVE_TAKE-AWAY_KIDNAP TAKE CHARGE STEAL_DEPRIVE
kidnap	REMOVE_TAKE-AWAY_KIDNAP
snatch	REMOVE_TAKE-AWAY_KIDNAP CATCH
abduct	REMOVE_TAKE-AWAY_KIDNAP MOVE-SOMETHING
pescar	REMOVE_TAKE-AWAY_KIDNAP SEARCH CATCH FIND HUNT
aberrate	TURN_CHANGE-DIRECTION DIVERSIFY
incitar	LURE_ENTICE INCITE_INDUCE PERSUADE AROUSE_WAKE_ENLIVEN
instigar	AROUSE_WAKE_ENLIVEN INCITE_INDUCE PERSUADE
abet	INCITE_INDUCE
aborrecer	DISLIKE
abhor	DISLIKE
execrate	DISLIKE BEWITCH
abominar	DISLIKE BEWITCH
execrar	DISLIKE BEWITCH
detestar	DISLIKE
loathe	DISLIKE
abominate	DISLIKE
quedar	EXIST-WITH-FEATURE HELP_HEAL_CARE_CURE AGREE_ACCEPT RETAIN_KEEP_SAVE-MONEY POSSESS REMAIN LEAVE-BEHIND MEET STAY_DWELL
morar	GROUND_BASE_FOUND EXIST_LIVE STAY_DWELL
bide	STAY_DWELL
stay	STOP SECURE_FASTEN_TIE REMAIN WEAKEN OVERCOME_SURPASS STAY_DWELL
abide	TOLERATE STAY_DWELL
permanecer	PLAY_SPORT/GAME RESIST REMAIN LEAVE-BEHIND WEAKEN WAIT STAY_DWELL
quedarse	PLAY_SPORT/GAME STOP CONTINUE REMAIN STAY_DWELL
brook	TOLERATE
soportar	STOP HELP_HEAL_CARE_CURE FACE_CHALLENGE TOLERATE RESIST RETAIN_KEEP_SAVE-MONEY UNDERGO-EXPERIENCE AGREE_ACCEPT AUTHORIZE_ADMIT CONTAIN STABILIZE_SUPPORT-PHYSICALLY
tolerate	AUTHORIZE_ADMIT TOLERATE RESIST
supporter	AGREE_ACCEPT TOLERATE
sufrir	CAUSE-MENTAL-STATE HURT_HARM_ACHE TOLERATE AGREE_ACCEPT UNDERGO-EXPERIENCE WORSEN RECEIVE
consentir	TREAT CAUSE-MENTAL-STATE TOLERATE AGREE_ACCEPT AUTHORIZE_ADMIT BELIEVE
tolérer	AGREE_ACCEPT TOLERATE
endure	UNDERGO-EXPERIENCE FACE_CHALLENGE TOLERATE CONTINUE
apechar	TOLERATE
sobrellevar	SPEND-TIME_PASS-TIME TOLERATE CONTINUE
support	HELP_HEAL_CARE_CURE TOLERATE FOLLOW_SUPPORT_SPONSOR_FUND ARGUE-IN-DEFENSE ATTEND PROVE STABILIZE_SUPPORT-PHYSICALLY PERFORM STRENGTHEN_MAKE-RESISTANT
tolerar	TOLERATE AGREE_ACCEPT AUTHORIZE_ADMIT REMAIN STAY_DWELL
aguantar	CAUSE-MENTAL-STATE STOP TOLERATE RESIST RESTRAIN CATCH RETAIN_KEEP_SAVE-MONEY AGREE_ACCEPT AUTHORIZE_ADMIT REMAIN HOLE_PIERCE PUT_APPLY_PLACE_PAVE OVERCOME_SURPASS STAY_DWELL
