sit-out	TOLERATE ABSTAIN_AVOID_REFRAIN
send	TRANSMIT CARRY_TRANSPORT DIRECT_AIM_MANEUVER PUT_APPLY_PLACE_PAVE SEND AUTHORIZE_ADMIT
ship	CATCH_EMBARK CARRY_TRANSPORT LOAD_PROVIDE_CHARGE_FURNISH MOVE_BY_MEANS_OF HIRE
drive-around	CARRY_TRANSPORT TRAVEL
chauffeur	CARRY_TRANSPORT
drive	OBLIGE_FORCE HIT MOVE_SOMETHING OPERATE DRIVE_BACK CHASE CARRY_TRANSPORT TRY DIRECT_AIM_MANEUVER PERSUADE THROW WORK_AS REMOVE_TAKE_AWAY_KIDNAP MOVE_BY_MEANS_OF PRESS_PUSH_FOLD SEARCH EXIST_WITH_FEATURE
fly	HIT LEAVE_DEPART_RUN_AWAY DISAPPEAR SPEND_TIME_PASS_TIME CARRY_TRANSPORT FLY TRAVEL EXPERIENCE_MENTAL_STATE MOVE_BY_MEANS_OF CIRCULATE_SPREAD_DISTRIBUTE
lug	CARRY_TRANSPORT BLOCK
tote	CARRY_TRANSPORT
tug	CARRY_TRANSPORT PULL TRY FIGHT
tube	CARRY_TRANSPORT ENCLOSE_WRAP LOAD_PROVIDE_CHARGE_FURNISH MOVE_BY_MEANS_OF
sledge	CARRY_TRANSPORT HIT MOVE_BY_MEANS_OF
frogmarch	CARRY_TRANSPORT PUSH_SOMEONE
ferry	CARRY_TRANSPORT MOVE_BY_MEANS_OF
railroad	CARRY_TRANSPORT OBLIGE_FORCE LOAD_PROVIDE_CHARGE_FURNISH
haul	CARRY_TRANSPORT PULL
tide	CARRY_TRANSPORT RISE_GO_UP MOVE_SOMETHING
barge	CARRY_TRANSPORT GO_FORWARD
pipe	CARRY_TRANSPORT EMBELLISH PERFORM MAKE_A_SOUND
sluice	CARRY_TRANSPORT FLOW WET EMPTY_UNLOAD
truck	CARRY_TRANSPORT
carry-over	CARRY_TRANSPORT REMAIN CONTINUE STORE
deliver	DRIVE_BACK GIVE_BIRTH CARRY_TRANSPORT CARRY_OUT_ACTION HELP_HEAL_CARE_CURE THROW GIVE_BACK GIVE_GIFT SPEAK
take-in	ABSORB VISIT TAKE_SHELTER CO_OPT LEARN AMASS EARN HOST_MEAL_INVITE DECEIVE HEAR_LISTEN LOOK PRESS_PUSH_FOLD REDUCE_DIMINISH EAT_BITE
take-up	ABSORB LEARN CONTINUE REMOVE_TAKE_AWAY_KIDNAP WORK_AS FOCUS USE MOVE_ONESELF RESTORE_STATE_UNDO_UNWIND
sponge-up	ABSORB
adsorb	ABSORB
