sit-out	TOLERATE ABSTAIN_AVOID_REFRAIN
peck	HIT BOTHER TOUCH EAT_BITE
gorge	EAT_BITE
ingurgitate	EAT_BITE
overindulge	EAT_BITE
glut	LOAD_PROVIDE_CHARGE_FURNISH EAT_BITE
englut	EAT_BITE
stuff	PUT_APPLY_PLACE_PAVE FILL BLOCK PRESS_PUSH_FOLD EAT_BITE
engorge	EAT_BITE
overgorge	EAT_BITE
overeat	EAT_BITE
gormandize	EAT_BITE
gormandise	EAT_BITE
gourmandize	EAT_BITE
binge	EAT_BITE
pig-out	EAT_BITE
satiate	FEEL EAT_BITE
scarf-out	EAT_BITE
eat-up	ENCLOSE_WRAP CONSUME_SPEND EAT_BITE
finish	EMBELLISH FINISH_CONCLUDE_END RESULT_CONSEQUENCE EAT_BITE
polish-off	FINISH_CONCLUDE_END KILL EAT_BITE
chew	EAT_BITE
masticate	EAT_BITE
manducate	EAT_BITE
fare	RESULT_CONSEQUENCE EAT_BITE
bite	HURT_HARM_ACHE HOLE_PIERCE EAT_BITE
seize-with-teeth	EAT_BITE
gum	PUT_APPLY_PLACE_PAVE EXCRETE EAT_BITE
sup	EAT_BITE
wolf	EAT_BITE
wolf-down	EAT_BITE
partake	SHARE EAT_BITE
touch	UNDERSTAND BORDER TOUCH CITE EXTEND REFER MATCH VIOLATE COLOR EXPERIENCE_MENTAL_STATE AFFECT MANAGE EAT_BITE
crunch	PRESS_PUSH_FOLD BREAK_DETERIORATE MAKE_A_SOUND EAT_BITE
munch	EAT_BITE
forage	SEARCH EAT_BITE
picnic	EAT_BITE
nibble	EAT_BITE
scavenge	GATHER WASH_CLEAN REMOVE_TAKE_AWAY_KIDNAP EAT_BITE
lunch	FEED EAT_BITE
victual	NOURISH_FEED STORE EAT_BITE
piece	MOUNT_ASSEMBLE_PRODUCE COMBINE_MIX_UNITE REPAIR_REMEDY JOIN_CONNECT EAT_BITE
dine	HOST_MEAL_INVITE EAT_BITE
predigest	EAT_BITE
consume	WASTE CONSUME_SPEND DESTROY EAT_BITE
go-through	GO_FORWARD FINISH_CONCLUDE_END UNDERGO_EXPERIENCE CREATE_MATERIALIZE EAT_BITE
pitch-in	EAT_BITE
dig-in	CONQUER EAT_BITE
eat	CORRODE_WEAR_AWAY_SCRATCH CONSUME_SPEND EXPERIENCE_MENTAL_STATE EAT_BITE
nip	PRESS_PUSH_FOLD CUT EAT_BITE
feast	COOK CAUSE_MENTAL_STATE EAT_BITE
banquet	COOK EAT_BITE
junket	TRAVEL COOK EAT_BITE
gobble	MAKE_A_SOUND EAT_BITE
bolt	LEAVE_DEPART_RUN_AWAY JUMP LOCK ROLL EAT_BITE
tuck-in	EAT_BITE
tuck-away	EAT_BITE
put-away	DISCARD CANCEL_ELIMINATE KILL USE CAGE_IMPRISON EAT_BITE
cannibalize	USE EAT_BITE
cannibalise	USE EAT_BITE
browse	LOOK SEARCH EAT_BITE
graze	HURT_HARM_ACHE CORRODE_WEAR_AWAY_SCRATCH FEED EAT_BITE
gluttonize	EAT_BITE
gluttonise	EAT_BITE
fress	EAT_BITE
chomp	EAT_BITE
champ	EAT_BITE
slurp	EAT_BITE
eat-in	EAT_BITE
dine-in	EAT_BITE
worry	TOUCH CAUSE_MENTAL_STATE EXPERIENCE_MENTAL_STATE EAT_BITE
fill-up	FILL EAT_BITE
chaw	EAT_BITE
take-out	ASK_REQUEST MISS_OMIT_LACK EXTRACT CITE REMOVE_TAKE_AWAY_KIDNAP BUY OBTAIN EXPOSE EAT_BITE
garbage-down	EAT_BITE
gobble-up	EAT_BITE
shovel-in	EARN EAT_BITE
breakfast	NOURISH_FEED EAT_BITE
mess	MESS EAT_BITE
crop	CUT FEED GROW_PLOW EAT_BITE
pasture	FEED EAT_BITE
snap-at	EAT_BITE
bite-off	EAT_BITE
wine-and-dine	HOST_MEAL_INVITE EAT_BITE
ruminate	THINK EAT_BITE
nosh	EAT_BITE
snack	EAT_BITE
blend	COMBINE_MIX_UNITE HARMONIZE
blend-in	COMBINE_MIX_UNITE HARMONIZE
gear	HARMONIZE
pitch	GO_FORWARD HIT SELL BUILD PLAY_SPORT/GAME INCLINE THROW FALL_SLIDE_DOWN HARMONIZE ADJUST_CORRECT
key	LOAD_PROVIDE_CHARGE_FURNISH DAMAGE HARMONIZE RECOGNIZE_ADMIT_IDENTIFY ADJUST_CORRECT
readjust	ADJUST_CORRECT HARMONIZE
readapt	HARMONIZE
domesticate	TEACH HARMONIZE
cultivate	AMELIORATE INCREASE_ENLARGE_MULTIPLY HARMONIZE GROW_PLOW
naturalize	CONVERT EXPLAIN HARMONIZE CHANGE_APPEARANCE/STATE
naturalise	CONVERT HARMONIZE CHANGE_APPEARANCE/STATE
square	MOVE_SOMETHING SHAPE MATCH PAY HARMONIZE INCREASE_ENLARGE_MULTIPLY TURN_CHANGE_DIRECTION
Islamize	CONVERT HARMONIZE
Islamise	CONVERT HARMONIZE
consort	HAVE_SEX HARMONIZE ACCOMPANY
accord	HARMONIZE GIVE_GIFT
fit-in	HARMONIZE
scan	READ INFORM HARMONIZE SEARCH ANALYZE
style	NAME EMBELLISH HARMONIZE
befit	HARMONIZE
suit	EMBELLISH SATISFY_FULFILL HARMONIZE FIT
beseem	HARMONIZE
tailor	SEW HARMONIZE
orient	TEACH DIRECT_AIM_MANEUVER HARMONIZE ORIENT
reconstruct	REMEMBER HARMONIZE BUILD RESTORE_STATE_UNDO_UNWIND
flux	GO_FORWARD HARMONIZE
mix	COMBINE_MIX_UNITE HARMONIZE ADD DISORDER_RANDOMIZE EXIST_WITH_FEATURE
conflate	HARMONIZE
commingle	COMBINE_MIX_UNITE HARMONIZE
immix	HARMONIZE
fuse	LOAD_PROVIDE_CHARGE_FURNISH HARMONIZE
coalesce	COMBINE_MIX_UNITE HARMONIZE
meld	COMBINE_MIX_UNITE DECREE_DECLARE HARMONIZE
combine	AMASS COMBINE_MIX_UNITE HARMONIZE EXIST_WITH_FEATURE
merge	COMBINE_MIX_UNITE HARMONIZE
uniformize	HARMONIZE
uniformise	HARMONIZE
accommodate	LOAD_PROVIDE_CHARGE_FURNISH ACCOMMODATE HARMONIZE HOST_MEAL_INVITE GIVE_GIFT FIT
reconcile	ACCEPT SETTLE_CONCILIATE COMBINE_MIX_UNITE HARMONIZE
conciliate	SETTLE_CONCILIATE MAKE_RELAX HARMONIZE
consonate	HARMONIZE
synthesize	HARMONIZE CREATE_MATERIALIZE
synthesise	HARMONIZE
proportion	ADJUST_CORRECT HARMONIZE
adapt	ADJUST_CORRECT HARMONIZE
rule	DECREE_DECLARE RESTRAIN DELIMIT_RESTRICT HARMONIZE LEAD_GOVERN
conform-to	SATISFY_FULFILL HARMONIZE MATCH
dematerialize	DISAPPEAR
dematerialise	DISAPPEAR
vanish	LEAVE_DEPART_RUN_AWAY DISAPPEAR SPEND_TIME_PASS_TIME
vaporize	CONVERT_CHEMICALLY/BIOLOGICALLY/PHYSICALLY KILL DISAPPEAR
disappear	WEAKEN LEAVE_DEPART_RUN_AWAY DISAPPEAR
go-away	LEAVE_DEPART_RUN_AWAY DISAPPEAR
go-under	NAME DISAPPEAR DIP_DIVE
bob-under	DISAPPEAR
fade	WEAKEN WORSEN DISAPPEAR
melt	DISAPPEAR COMBINE_MIX_UNITE CONVERT_CHEMICALLY/BIOLOGICALLY/PHYSICALLY EXPERIENCE_MENTAL_STATE WEAKEN
evanesce	DISAPPEAR
blow-over	DISAPPEAR
pass-off	DISAPPEAR HAPPEN_OCCUR EMIT DECEIVE REFUSE
fleet	TRAVEL DISAPPEAR
spirit-away	REMOVE_TAKE_AWAY_KIDNAP DISAPPEAR
spirit-off	DISAPPEAR
jump	GO_FORWARD ALTERNATE LEAVE_DEPART_RUN_AWAY MISS_OMIT_LACK CHANGE_APPEARANCE/STATE JUMP START_FUNCTIONING FALL_SLIDE_DOWN PARTICIPATE ATTACK_BOMB INCREASE_ENLARGE_MULTIPLY AMELIORATE EXIST_WITH_FEATURE
leap	JUMP GO_FORWARD CHANGE_APPEARANCE/STATE
leapfrog	JUMP
pronk	JUMP
skip	MISS_OMIT_LACK JUMP LEAVE_DEPART_RUN_AWAY
bound-off	JUMP
vault	JUMP
ski-jump	JUMP
curvet	JUMP
saltate	JUMP MOVE_SOMETHING
hop	JUMP GO_FORWARD TRAVEL MOVE_BY_MEANS_OF
hop-skip	JUMP
skitter	JUMP RUN MOVE_SOMETHING TRAVEL
buck	JUMP RUN TRY RESIST
hitch	JUMP TRAVEL ATTACH BLOCK JOIN_CONNECT
caper	JUMP
hurdle	JUMP
latch	LOCK
hasp	LOCK
lock-up	CAGE_IMPRISON LOCK
lock	OPERATE OVERCOME_SURPASS TOUCH BUILD LOCK BLOCK CAGE_IMPRISON
padlock	LOCK
wind	EXTEND COIL SMELL TRAVEL RAISE ROLL
wrap	DESTROY ENCLOSE_WRAP ROLL
twine	SHAPE WEAVE ROLL
roll-up	COIL AMASS ROLL CLOSE ARRIVE
furl	ROLL
cog	JOIN_CONNECT ROLL
revolve	TRAVEL ROLL
curl-up	ROLL
curl	PLAY_SPORT/GAME COIL ROLL
draw-in	ATTRACT_SUCK GO_FORWARD PULL ROLL ARRIVE
bowl	HIT PLAY_SPORT/GAME ROLL
reserve	STORE RESERVE
book-up	RESERVE
book	PLAN_SCHEDULE RECORD RESERVE
ladder	BREAK_DETERIORATE
pestle	BREAK_DETERIORATE
crumble	DESTROY BREAK_DETERIORATE
fall-apart	EXPERIENCE_MENTAL_STATE BREAK_DETERIORATE
sunder	BREAK_DETERIORATE
collapse	DESTROY EXPLODE PRESS_PUSH_FOLD BREAK_DETERIORATE HURT_HARM_ACHE WEAKEN CONTRACT_AN_ILLNESS_INFECT
fall-in	PREPARE ALLY_ASSOCIATE_MARRY BREAK_DETERIORATE
cave-in	BREAK_DETERIORATE
give-way	MOVE_SOMETHING GIVE_UP_ABOLISH_ABANDON BREAK_DETERIORATE
founder	FALL_SLIDE_DOWN DIP_DIVE FAIL_LOSE BREAK_DETERIORATE
malfunction	BREAK_DETERIORATE
misfunction	BREAK_DETERIORATE
blunt	WEAKEN BREAK_DETERIORATE
overload	FILL BLOCK BREAK_DETERIORATE
shatter	DAMAGE BREAK_DETERIORATE
blow-out	RESTRAIN EXPLODE BREAK_DETERIORATE
burn-out	BREAK_DETERIORATE
break-apart	DESTROY DISBAND_BREAK_UP BREAK_DETERIORATE
chip	HIT CUT SEPARATE_FILTER_DETACH BREAK_DETERIORATE CAVE_CARVE
chip-off	BREAK_DETERIORATE
come-off	HAPPEN_OCCUR SEPARATE_FILTER_DETACH BREAK_DETERIORATE
splinter	DISBAND_BREAK_UP BREAK_DETERIORATE
sliver	CONVERT_CHEMICALLY/BIOLOGICALLY/PHYSICALLY BREAK_DETERIORATE
blast	HIT SHOOT_LAUNCH_PROPEL BREATH_BLOW BREAK_DETERIORATE MAKE_A_SOUND SPOIL ATTACK_BOMB CRITICIZE CAVE_CARVE
knock-down	KNOCK_DOWN BREAK_DETERIORATE
brecciate	SHAPE BREAK_DETERIORATE
scarify	HURT_HARM_ACHE CORRODE_WEAR_AWAY_SCRATCH BREAK_DETERIORATE
smash	DESTROY HIT FAIL_LOSE CAUSE_MENTAL_STATE BREAK_DETERIORATE DISBAND_BREAK_UP
decay	DESTROY LOSE BREAK_DETERIORATE
dilapidate	DAMAGE BREAK_DETERIORATE
decrepitate	BREAK_DETERIORATE
dissociate	DISBAND_BREAK_UP DISTINGUISH_DIFFER BREAK_DETERIORATE
fissure	BREAK_DETERIORATE
crumb	COVER_SPREAD_SURMOUNT REMOVE_TAKE_AWAY_KIDNAP BREAK_DETERIORATE
stave-in	HOLE_PIERCE BREAK_DETERIORATE
powderize	DESTROY BREAK_DETERIORATE
powderise	DESTROY BREAK_DETERIORATE
powder	PUT_APPLY_PLACE_PAVE BREAK_DETERIORATE
pulverize	DESTROY BREAK_DETERIORATE
pulverise	DESTROY BREAK_DETERIORATE
rice	BREAK_DETERIORATE
peel-off	LEAVE_DEPART_RUN_AWAY REMOVE_TAKE_AWAY_KIDNAP BREAK_DETERIORATE
peel	REMOVE_TAKE_AWAY_KIDNAP BREAK_DETERIORATE
flake-off	BREAK_DETERIORATE
flake	COVER_SPREAD_SURMOUNT SHAPE BREAK_DETERIORATE
bust	DESTROY SEPARATE_FILTER_DETACH BREAK_DETERIORATE OPEN ATTACK_BOMB
grind	MOUNT_ASSEMBLE_PRODUCE WORK DANCE BREAK_DETERIORATE MAKE_A_SOUND CREATE_MATERIALIZE PRESS_PUSH_FOLD
mash	PRESS_PUSH_FOLD COURT BREAK_DETERIORATE
bray	MAKE_A_SOUND LAUGH BREAK_DETERIORATE
comminute	BREAK_DETERIORATE
desquamate	BREAK_DETERIORATE
fragment	BREAK_DETERIORATE
fragmentize	BREAK_DETERIORATE
fragmentise	BREAK_DETERIORATE
refracture	BREAK_DETERIORATE
bruise	HURT_HARM_ACHE DAMAGE BREAK_DETERIORATE
go-bad	SPOIL BREAK_DETERIORATE
give-out	GIVE_GIFT EMIT FAIL_LOSE BREAK_DETERIORATE
separate	SEPARATE_FILTER_DETACH BREAK_DETERIORATE SORT_CLASSIFY_ARRANGE RECOGNIZE_ADMIT_IDENTIFY REFUSE DISBAND_BREAK_UP
split-up	DISBAND_BREAK_UP SEPARATE_FILTER_DETACH BREAK_DETERIORATE
come-apart	BREAK_DETERIORATE
exfoliate	DISCARD GROW_PLOW REMOVE_TAKE_AWAY_KIDNAP BREAK_DETERIORATE OPEN
mill	CAVE_CARVE TRAVEL SHAPE BREAK_DETERIORATE
wear-off	CORRODE_WEAR_AWAY_SCRATCH BREAK_DETERIORATE
wear-thin	BREAK_DETERIORATE
tease	BOTHER SEPARATE_FILTER_DETACH BREAK_DETERIORATE AROUSE_WAKE_ENLIVEN OFFEND_DISESTEEM WEAVE JOKE RAISE STRAIGHTEN
transpire	EXCRETE HAPPEN_OCCUR REVEAL EMIT
radiate	ENJOY DIVERSIFY COVER_SPREAD_SURMOUNT EMIT COLOR LIGHT_SHINE
burst	GO_FORWARD EXPLODE APPEAR EMIT OPEN EXIST_WITH_FEATURE
lather	EXCRETE HIT WASH_CLEAN EMIT
fume	EXCRETE TREAT EXPERIENCE_MENTAL_STATE EMIT
smoke	BREATH_BLOW EMIT
ray	COVER_SPREAD_SURMOUNT EXPOSE EMIT
transpirate	EMIT
issue	LOAD_PROVIDE_CHARGE_FURNISH PUBLISH EMIT
emerge	HAPPEN_OCCUR SHOW APPEAR EMIT FEEL
come-forth	HAPPEN_OCCUR EMIT
go-forth	LEAVE_DEPART_RUN_AWAY EMIT
egress	EMIT
reek	ODORIZE EXCRETE EXIST_WITH_FEATURE EMIT
desorb	REMOVE_TAKE_AWAY_KIDNAP EMIT
emit	MAKE_A_SOUND EMIT
seethe	HEAT MAKE_A_SOUND EXPERIENCE_MENTAL_STATE EMIT
froth	EXCRETE CHANGE_APPEARANCE/STATE EMIT
spume	EMIT
suds	WASH_CLEAN EMIT
release	CANCEL_ELIMINATE LIBERATE_ALLOW_AFFORD CHANGE_HANDS EMIT EMPTY_UNLOAD PUBLISH EXCRETE
free	CANCEL_ELIMINATE LIBERATE_ALLOW_AFFORD CHANGE_HANDS REMOVE_TAKE_AWAY_KIDNAP EMIT EXEMPT UNFASTEN_UNFOLD PUBLISH
liberate	LIBERATE_ALLOW_AFFORD EMIT
exhale	BREATH_BLOW EMIT
give-forth	EMIT
give-off	EXIST_WITH_FEATURE EMIT
retrieve	BRING REMEMBER OBTAIN
bring	BRING CHANGE_APPEARANCE/STATE HAPPEN_OCCUR CARRY_OUT_ACTION PERSUADE CAUSE_MENTAL_STATE ACCOMPANY COST EXIST_WITH_FEATURE
convey	BRING CHANGE_HANDS SHOW HURT_HARM_ACHE INFORM CIRCULATE_SPREAD_DISTRIBUTE
skyjack	BRING
fetch	BRING REMOVE_TAKE_AWAY_KIDNAP COST
bring-to-bear	BRING
bulge	FILL BULGE_OUT
bulk	BULGE_OUT
pouch	INSERT SEND BULGE_OUT
protrude	BULGE_OUT
emboss	BULGE_OUT
boss	BULGE_OUT
stamp	DESTROY REPRESENT BULGE_OUT MOUNT_ASSEMBLE_PRODUCE SORT_CLASSIFY_ARRANGE TRAVEL ATTACH CAVE_CARVE PRESS_PUSH_FOLD
belly	BULGE_OUT
belly-out	BULGE_OUT
prolapse	BULGE_OUT
cantilever	BUILD BULGE_OUT
bloat	INCREASE_ENLARGE_MULTIPLY BULGE_OUT
distend	INCREASE_ENLARGE_MULTIPLY BULGE_OUT
pop-out	APPEAR LEAVE_DEPART_RUN_AWAY BULGE_OUT
overhang	HANG BULGE_OUT
protuberate	BULGE_OUT
bulge-out	BULGE_OUT
bug-out	BULGE_OUT
jut-out	BULGE_OUT
jut	BULGE_OUT
project	SHOOT_LAUNCH_PROPEL TRANSMIT BULGE_OUT SHOW DIRECT_AIM_MANEUVER PROPOSE PLAN_SCHEDULE COLOR MAKE_A_SOUND IMAGINE
exterminate	CANCEL_ELIMINATE KILL
kill-off	KILL
girdle	ENCLOSE_WRAP KILL
deaden	CONVERT MESS KILL WEAKEN REDUCE_DIMINISH
sacrifice	SELL KILL GIVE_GIFT
put-to-death	KILL
tomahawk	KILL CUT
smother	COVER_SPREAD_SURMOUNT WEAKEN KILL CLOUD_SHADOW_HIDE
asphyxiate	DIE KILL BLOCK
suffocate	HURT_HARM_ACHE DIE KILL BLOCK EXPERIENCE_MENTAL_STATE WEAKEN
put-to-sleep	KILL SLEEP
strike-down	KILL ANNUL KNOCK_DOWN
halter	KILL BLOCK
zap	COOK HIT KILL ATTACK_BOMB
decimate	KILL
dismember	SEPARATE_FILTER_DETACH KILL
poison	ADD KILL DEBASE_ADULTERATE GIVE_GIFT
shed-blood	KILL EXCRETE
gibbet	KILL JOKE
snuff-out	RESTRAIN KILL
extinguish	RESTRAIN FINISH_CONCLUDE_END KILL CANCEL_ELIMINATE
strangle	CLOUD_SHADOW_HIDE HURT_HARM_ACHE DIE KILL BLOCK
strangulate	PRESS_PUSH_FOLD KILL
throttle	RESTRAIN KILL REDUCE_DIMINISH
neutralize	COMPENSATE CONVERT_CHEMICALLY/BIOLOGICALLY/PHYSICALLY KILL BLOCK WEAKEN
neutralise	COMPENSATE KILL BLOCK CONVERT_CHEMICALLY/BIOLOGICALLY/PHYSICALLY
liquidate	CONVERT PAY KILL DISBAND_BREAK_UP
knock-off	FINISH_CONCLUDE_END STEAL_DEPRIVE KILL WRITE REDUCE_DIMINISH
do-in	KILL
murder	KILL CHANGE_APPEARANCE/STATE
slay	KILL
dispatch	CARRY_OUT_ACTION FINISH_CONCLUDE_END KILL SEND
bump-off	KILL
off	KILL
remove	MOVE_SOMETHING LEAVE_DEPART_RUN_AWAY DISCARD REMOVE_TAKE_AWAY_KIDNAP DISMISS_FIRE KILL
saber	KILL CUT
sabre	KILL CUT
massacre	KILL
slaughter	KILL
mow-down	KILL
hang	HANG SHOW BURDEN_BEAR ATTEND PUT_APPLY_PLACE_PAVE FALL_SLIDE_DOWN KILL BLOCK CATCH LIE
string-up	COMBINE_MIX_UNITE KILL
butcher	KILL
lynch	KILL
martyr	HURT_HARM_ACHE KILL
decapitate	KILL
behead	KILL
decollate	KILL
eliminate	CANCEL_ELIMINATE DEFEAT PRECLUDE_FORBID_EXPEL REMOVE_TAKE_AWAY_KIDNAP KILL REFUSE EXCRETE
annihilate	KILL
eradicate	CANCEL_ELIMINATE KILL
wipe-out	CANCEL_ELIMINATE KILL CONSUME_SPEND
guillotine	KILL
garrote	KILL
garrotte	KILL
garotte	KILL
scrag	HURT_HARM_ACHE KILL
electrocute	KILL
brain	HIT KILL
fry	COOK KILL HEAT
erase	CANCEL_ELIMINATE KILL
overlie	KILL LIE
overlay	COVER_SPREAD_SURMOUNT KILL
pip	DEFEAT SHOOT_LAUNCH_PROPEL KILL
immolate	KILL
stone	KILL REMOVE_TAKE_AWAY_KIDNAP
lapidate	KILL THROW
quarter	LOAD_PROVIDE_CHARGE_FURNISH SEPARATE_FILTER_DETACH KILL DIVIDE
draw-and-quarter	KILL
impale	HOLE_PIERCE KILL
stake	SECURE_FASTEN_TIE SIGNAL_INDICATE KILL RISK BID
drown	CANCEL_ELIMINATE DIP_DIVE DIE KILL EXIST_WITH_FEATURE
destroy	DESTROY KILL DEFEAT
put-down	DOWNPLAY_HUMILIATE PROPOSE PUT_APPLY_PLACE_PAVE EMPTY_UNLOAD KILL LAND_GET_OFF WRITE LIE
assassinate	OFFEND_DISESTEEM KILL
burke	PRECLUDE_FORBID_EXPEL KILL
decease	DIE
perish	DIE
exit	DIE LEAVE_DEPART_RUN_AWAY FAIL_LOSE
pass-away	FINISH_CONCLUDE_END DIE
expire	FINISH_CONCLUDE_END DIE BREATH_BLOW
kick-the-bucket	DIE
cash-in-one's-chips	DIE
buy-the-farm	DIE
give-up-the-ghost	DIE
drop-dead	DIE
pop-off	DIE LEAVE_DEPART_RUN_AWAY
choke	FAIL_LOSE PRESS_PUSH_FOLD HURT_HARM_ACHE DIE BLOCK EXPERIENCE_MENTAL_STATE WEAKEN REDUCE_DIMINISH
croak	OPPOSE_REBEL_DISSENT DIE MAKE_A_SOUND
snuff-it	DIE
buy-it	DIE
pip-out	DIE
die-out	SHAPE DIE
die-off	DIE
predecease	DIE
famish	HURT_HARM_ACHE DIE
commit-suicide	DIE
bereave	DIE
stifle	WEAKEN DIE BLOCK CLOUD_SHADOW_HIDE
truncate	REDUCE_DIMINISH CALCULATE_ESTIMATE REPLACE
integrate	CALCULATE_ESTIMATE COMBINE_MIX_UNITE BEFRIEND EXIST_WITH_FEATURE
capitalize	CONVERT FUND INTERPRET CALCULATE_ESTIMATE WRITE BENEFIT_EXPLOIT
capitalise	CONVERT FUND INTERPRET CALCULATE_ESTIMATE WRITE BENEFIT_EXPLOIT
compound	CALCULATE_ESTIMATE COMBINE_MIX_UNITE INCREASE_ENLARGE_MULTIPLY
quantize	CALCULATE_ESTIMATE
quantise	CALCULATE_ESTIMATE
undervalue	CALCULATE_ESTIMATE OFFEND_DISESTEEM DEBASE_ADULTERATE
extract	EXTRACT CITE SEPARATE_FILTER_DETACH REMOVE_TAKE_AWAY_KIDNAP CALCULATE_ESTIMATE OBTAIN INFER
rectify	CONVERT_CHEMICALLY/BIOLOGICALLY/PHYSICALLY HELP_HEAL_CARE_CURE CALCULATE_ESTIMATE AMELIORATE ADJUST_CORRECT
value	LIKE CALCULATE_ESTIMATE DECIDE_DETERMINE
overcapitalize	CALCULATE_ESTIMATE EARN MEASURE_EVALUATE
overcapitalise	CALCULATE_ESTIMATE EARN MEASURE_EVALUATE
price	CALCULATE_ESTIMATE
guesstimate	CALCULATE_ESTIMATE
overprice	CALCULATE_ESTIMATE
gauge	CALCULATE_ESTIMATE COMBINE_MIX_UNITE ADJUST_CORRECT MEASURE_EVALUATE
admeasure	CALCULATE_ESTIMATE
overvalue	CALCULATE_ESTIMATE
tax	CALCULATE_ESTIMATE BENEFIT_EXPLOIT CHARGE ACCUSE
assess	CALCULATE_ESTIMATE CHARGE
lowball	CALCULATE_ESTIMATE
cipher	CONVERT CALCULATE_ESTIMATE
cypher	CONVERT CALCULATE_ESTIMATE
compute	CALCULATE_ESTIMATE
recalculate	CALCULATE_ESTIMATE
underquote	CALCULATE_ESTIMATE OFFER
interpolate	CALCULATE_ESTIMATE DECEIVE
extrapolate	CALCULATE_ESTIMATE INFER
transpose	CONVERT REPLACE CHANGE_APPEARANCE/STATE CALCULATE_ESTIMATE DISORDER_RANDOMIZE
budget-for	CALCULATE_ESTIMATE
approximate	CALCULATE_ESTIMATE EXIST_WITH_FEATURE
factor	CALCULATE_ESTIMATE CONSIDER RESULT_CONSEQUENCE
factor-in	CALCULATE_ESTIMATE CONSIDER
factor-out	CALCULATE_ESTIMATE CONSIDER
refract	CALCULATE_ESTIMATE TURN_CHANGE_DIRECTION
factorize	CALCULATE_ESTIMATE
factorise	CALCULATE_ESTIMATE
account	CALCULATE_ESTIMATE CAUSE EXPLAIN REPRESENT
differentiate	DIVERSIFY CALCULATE_ESTIMATE DISTINGUISH_DIFFER AMELIORATE RECOGNIZE_ADMIT_IDENTIFY
process	GO_FORWARD SHAPE CALCULATE_ESTIMATE SUMMON PREPARE MANAGE ACCUSE
determine	DECIDE_DETERMINE DECREE_DECLARE INFLUENCE VERIFY CALCULATE_ESTIMATE DELIMIT_RESTRICT SETTLE_CONCILIATE
ascertain	CALCULATE_ESTIMATE VERIFY
equate	CALCULATE_ESTIMATE COMPARE MATCH
correspond	COMMUNICATE_CONTACT CALCULATE_ESTIMATE REPRESENT MATCH
measure	CALCULATE_ESTIMATE MEASURE_EVALUATE EXIST_WITH_FEATURE
valuate	CALCULATE_ESTIMATE
appraise	CALCULATE_ESTIMATE ANALYZE
refer	CITE REFER SORT_CLASSIFY_ARRANGE SEND SEARCH NAME MEAN
tag	CHASE TOUCH LOAD_PROVIDE_CHARGE_FURNISH ATTACH NAME
fasten	TIGHTEN NAME SECURE_FASTEN_TIE
rename	NAME
label	DISTINGUISH_DIFFER ATTACH DECREE_DECLARE NAME
redefine	DECIDE_DETERMINE NAME
title	NAME
term	NAME
post	TRANSMIT SHOW PUT_APPLY_PLACE_PAVE ASSIGN SIGNAL_INDICATE RECORD ATTACH SEND MOVE_BY_MEANS_OF NAME PUBLISH
brand	SIGNAL_INDICATE NAME ACCUSE
misname	NAME
miscall	NAME
dub	LOAD_PROVIDE_CHARGE_FURNISH ASSIGN NAME
nickname	NAME
designate	DECREE_DECLARE PLAN_SCHEDULE ASSIGN SIGNAL_INDICATE NAME
denominate	NAME
telephone	COMMUNICATE_CONTACT
call-up	COMMUNICATE_CONTACT SUMMON REMEMBER PROPOSE
phone	COMMUNICATE_CONTACT
grunt-hoot	COMMUNICATE_CONTACT
commune	COMMUNICATE_CONTACT COMMUNE
reach-out	COMMUNICATE_CONTACT EXTEND
telecommunicate	COMMUNICATE_CONTACT
network	COMMUNICATE_CONTACT
cell-phone	COMMUNICATE_CONTACT
telepathize	COMMUNICATE_CONTACT
telepathise	COMMUNICATE_CONTACT
write	RECORD SEND CREATE_MATERIALIZE COMMUNICATE_CONTACT WRITE PUBLISH
drop-a-line	COMMUNICATE_CONTACT
ping	COMMUNICATE_CONTACT HIT MAKE_A_SOUND SEND
e-mail	COMMUNICATE_CONTACT
email	COMMUNICATE_CONTACT
netmail	COMMUNICATE_CONTACT
get-in-touch	COMMUNICATE_CONTACT
touch-base	COMMUNICATE_CONTACT
connect	HIT CORRELATE JOIN_CONNECT COMMUNICATE_CONTACT BEFRIEND
pant-hoot	COMMUNICATE_CONTACT
reticulate	COMMUNICATE_CONTACT SEPARATE_FILTER_DETACH CIRCULATE_SPREAD_DISTRIBUTE
get-through	FINISH_CONCLUDE_END UNDERSTAND SPEND_TIME_PASS_TIME CONTINUE COMMUNICATE_CONTACT
contact	COMMUNICATE_CONTACT BORDER
call-back	COMMUNICATE_CONTACT REMEMBER RECALL
hail	WELCOME APPROVE_PRAISE COME_FROM SUMMON METEOROLOGICAL
arraign	SUMMON ACCUSE
summon	PREPARE SUMMON AMASS
summons	SUMMON
swear-out	SUMMON
call-on	SUMMON
mobilize	CIRCULATE_SPREAD_DISTRIBUTE PREPARE SUMMON
mobilise	CIRCULATE_SPREAD_DISTRIBUTE PREPARE SUMMON
rally	GROUP AMASS SUMMON OFFEND_DISESTEEM RESTORE_STATE_UNDO_UNWIND
beckon	LIKE SUMMON SIGNAL_INDICATE
subpoena	SUMMON
convoke	SUMMON
convene	SUMMON MEET
send-for	SUMMON
buzz	SUMMON MAKE_A_SOUND FLY
muster	AMASS SUMMON
call-off	SUMMON ANNUL
beep	SUMMON MAKE_A_SOUND
frequent	VISIT ATTEND
